x,y,rsrp_cell0,rsrp_cell1,rsrp_cell2,rsrp_cell3,rsrp_cell4,rsrp_cell5,rsrp_cell6
0,0,-55.5700309347017,-59.4248444579794,-60.6000323101732,-58.5500026445921,-52.3437200540878,-45.9673993294525,-56.1706818538009
0,10,-55.4744926146444,-59.3450506272984,-60.5500992577443,-58.5248467654032,-52.320386017595,-45.6045222041328,-56.0434609232326
0,20,-55.3789938730451,-59.2647831761246,-60.5003196364646,-58.5005925501827,-52.3007272689588,-45.2284761168293,-55.914537384123
0,30,-55.2835764818755,-59.1840408596512,-60.4507038084407,-58.4772544659098,-52.2847897787005,-44.8383797993048,-55.7838654495508
0,40,-55.1882846886299,-59.102822638239,-60.4012623931204,-58.4548465977416,-52.2726111410304,-44.433278458352,-55.6513974780007
0,50,-55.093165305959,-59.0211276929678,-60.3520062688878,-58.4333826229601,-52.2642202814892,-44.0121399712052,-55.5170838728737
0,60,-54.9982677992539,-58.9389554421316,-60.3029465743612,-58.4128757851879,-52.2596372295517,-43.5738527550643,-55.3808729751774
0,70,-54.9036443713242,-58.8563055587281,-60.2540947093713,-58.3933388689628,-52.2588729599172,-43.1172265931707,-55.2427109488386
0,80,-54.8093500432092,-58.7731779889991,-60.2054623355969,-58.3747841747674,-52.2619293051152,-42.6409984205078,-55.1025416580328
0,90,-54.7154427300601,-58.6895729720752,-60.1570613768353,-58.357223494609,-52.2687989408824,-42.1438461844932,-54.9603065358604
0,100,-54.6219833109226,-58.6054910607876,-60.1089040188833,-58.3406680882443,-52.2794654445563,-41.6244156135035,-54.815944443641
0,110,-54.5290356911375,-58.5209331437052,-60.0610027090047,-58.3251286601451,-52.2939034255092,-41.0813673748886,-54.6693915200195
0,120,-54.4366668559664,-58.4359004684636,-60.0133701549598,-58.3106153372987,-52.3120787254582,-40.5134561722257,-54.5205810190026
0,130,-54.3449469139392,-58.3503946664497,-59.9660193235715,-58.2971376479363,-52.3339486853511,-39.9196595196589,-54.3694431359513
0,140,-54.2539491283133,-58.264417778913,-59.9189634388034,-58.2847045012785,-52.3594624744971,-39.2993831656251,-54.2159048204597
0,150,-54.1637499349329,-58.1779722845721,-59.8722159793235,-58.2733241683877,-52.3885614766859,-38.6527834236581,-54.0598895749367
0,160,-54.0744289446852,-58.0910611287905,-59.8257906755294,-58.2630042642089,-52.4211797272672,-37.981264455997,-53.9013172375853
0,170,-53.9860689286712,-58.0036877543959,-59.7797015060077,-58.2537517308814,-52.4572443945395,-37.2882288628815,-53.7401037483375
0,180,-53.8987557841456,-57.9158561342194,-59.7339626934044,-58.2455728223957,-52.4966762983473,-36.5801736166614,-53.5761608961458
0,190,-53.8125784792409,-57.8275708054319,-59.6885886996792,-58.2384730906651,-52.5393904585073,-35.8682040765846,-53.4093960458633
0,200,-53.7276289744703,-57.7388369057581,-59.6435942207207,-58.2324573730779,-52.5852966655717,-35.1699263322176,-53.2397118427471
0,210,-53.6440021190249,-57.6496602116452,-59.5989941802984,-58.2275297815868,-52.6343000664929,-34.5113666016053,-53.0670058924066
0,220,-53.5617955199269,-57.5600471784685,-59.5548037233268,-58.223693693388,-52.6863017579535,-33.9279509065618,-52.89117041377
0,230,-53.4811093821943,-57.4700049828514,-59.5110382084215,-58.2209517432331,-52.7411993804618,-33.4627812969077,-52.7120918623746
0,240,-53.4020463183112,-57.3795415671795,-59.4677131997244,-58.2193058174109,-52.7988877067652,-33.1602595216468,-52.5296505209703
0,250,-53.3247111254865,-57.2886656863849,-59.4248444579794,-58.2187570494285,-52.8592592186725,-33.0550065464237,-52.3437200540878
0,260,-53.2492105294288,-57.1973869570748,-59.3824479308386,-58.2193058174109,-52.9222046669939,-33.1602595216468,-52.1541670228247
0,270,-53.1756528936669,-57.1057159090747,-59.3405397423845,-58.2209517432331,-52.9876136099676,-33.4627812969077,-51.9608503556683
0,280,-53.1041478938125,-57.0136640394515,-59.2991361818519,-58.223693693388,-53.0553749262324,-33.9279509065618,-51.7636207706762
0,290,-53.0348061565833,-56.9212438690764,-59.2582536915374,-58.2275297815868,-53.1253772991052,-34.5113666016053,-51.5623201437771
0,300,-52.967738863894,-56.828469001778,-59.2179088538857,-58.2324573730779,-53.1975096696094,-35.1699263322176,-51.3567808173282
0,310,-52.9030573228634,-56.735354186129,-59.1781183777471,-58.2384730906651,-53.2716616563667,-35.8682040765846,-51.1468248423549
0,320,-52.8408725031829,-56.6419153798962,-59.1388990837983,-58.2455728223957,-53.3477239410897,-36.5801736166614,-50.9322631471079
0,330,-52.7812945439321,-56.5481698171705,-59.1002678891276,-58.2537517308814,-53.4255886189959,-37.2882288628815,-50.7128946236792
0,340,-52.724432232597,-56.4541360781797,-59.0622417909836,-58.2630042642089,-53.5051495139882,-37.981264455997,-50.4885051234228
0,350,-52.6703924597448,-56.3598341617635,-59.0248378496949,-58.2733241683877,-53.5863024589168,-38.6527834236581,-50.2588663508179
0,360,-52.6192796535016,-56.2652855604743,-58.9880731707671,-58.2847045012785,-53.6689455416419,-39.2993831656251,-50.0237346441816
0,370,-52.5711951986681,-56.1705133382368,-58.9519648861709,-58.2971376479363,-53.7529793179667,-39.9196595196589,-49.7828496302884
0,380,-52.5262368459551,-56.0755422104736,-58.9165301348378,-58.3106153372987,-53.8383069927889,-40.5134561722257,-49.5359327384838
0,390,-52.4844981174181,-55.9803986265718,-58.8817860423842,-58.3251286601451,-53.9248345710537,-41.0813673748886,-49.2826855583044
0,400,-52.4460677146845,-55.8851108545266,-58.8477497000888,-58.3406680882443,-54.0124709802581,-41.6244156135035,-49.0227880229682
0,410,-52.4110289369881,-55.7897090675579,-58.814438143154,-58.357223494609,-54.1011281663862,-42.1438461844932,-48.7558963994202
0,420,-52.3794591163201,-55.6942254324479,-58.7818683282847,-58.3747841747674,-54.1907211652293,-42.6409984205078,-48.4816410640168
0,430,-52.3514290771675,-55.5986941992988,-58.7500571106238,-58.3933388689628,-54.2811681510873,-43.1172265931707,-48.1996240415315
0,440,-52.3270026283122,-55.5031517923481,-58.7190212200897,-58.4128757851879,-54.3723904648527,-43.5738527550643,-47.9094162842136
0,450,-52.306236094007,-55.4076369014199,-58.6887772371619,-58.4333826229601,-54.4643126234516,-44.0121399712052,-47.6105546674752
0,460,-52.2891778915111,-55.3121905735184,-58.6593415681707,-58.4548465977416,-54.5568623125731,-44.433278458352,-47.3025386799675
0,470,-52.2758681614662,-55.2168563039971,-58.6307304201477,-58.4772544659098,-54.649970364544,-44.8383797993048,-46.984826789174
0,480,-52.2663384569278,-55.1216801266543,-58.6029597752998,-58.5005925501827,-54.7435707231285,-45.2284761168293,-46.65683247045
0,490,-52.260611496041,-55.0267107020181,-58.5760453651754,-58.5248467654032,-54.8376003969323,-45.6045222041328,-46.3179198995939
0,500,-52.2587009823979,-54.9319994029919,-58.5500026445921,-58.5500026445921,-54.9319994029919,-45.9673993294525,-45.9673993294525
0,510,-52.260611496041,-54.8376003969323,-58.5248467654032,-58.5760453651754,-55.0267107020181,-46.3179198995939,-45.6045222041328
0,520,-52.2663384569278,-54.7435707231285,-58.5005925501827,-58.6029597752998,-55.1216801266543,-46.65683247045,-45.2284761168293
0,530,-52.2758681614662,-54.649970364544,-58.4772544659098,-58.6307304201477,-55.2168563039971,-46.984826789174,-44.8383797993048
0,540,-52.2891778915111,-54.5568623125731,-58.4548465977416,-58.6593415681707,-55.3121905735184,-47.3025386799675,-44.433278458352
0,550,-52.306236094007,-54.4643126234516,-58.4333826229601,-58.6887772371619,-55.4076369014199,-47.6105546674752,-44.0121399712052
0,560,-52.3270026283122,-54.3723904648527,-58.4128757851879,-58.7190212200897,-55.5031517923481,-47.9094162842136,-43.5738527550643
0,570,-52.3514290771675,-54.2811681510873,-58.3933388689628,-58.7500571106238,-55.5986941992988,-48.1996240415315,-43.1172265931707
0,580,-52.3794591163201,-54.1907211652293,-58.3747841747674,-58.7818683282847,-55.6942254324479,-48.4816410640168,-42.6409984205078
0,590,-52.4110289369881,-54.1011281663862,-58.357223494609,-58.814438143154,-55.7897090675579,-48.7558963994202,-42.1438461844932
0,600,-52.4460677146845,-54.0124709802581,-58.3406680882443,-58.8477497000888,-55.8851108545266,-49.0227880229682,-41.6244156135035
0,610,-52.4844981174181,-53.9248345710537,-58.3251286601451,-58.8817860423842,-55.9803986265718,-49.2826855583044,-41.0813673748886
0,620,-52.5262368459551,-53.8383069927889,-58.3106153372987,-58.9165301348378,-56.0755422104736,-49.5359327384838,-40.5134561722257
0,630,-52.5711951986681,-53.7529793179667,-58.2971376479363,-58.9519648861709,-56.1705133382368,-49.7828496302884,-39.9196595196589
0,640,-52.6192796535016,-53.6689455416419,-58.2847045012785,-58.9880731707671,-56.2652855604743,-50.0237346441816,-39.2993831656251
0,650,-52.6703924597448,-53.5863024589168,-58.2733241683877,-59.0248378496949,-56.3598341617635,-50.2588663508179,-38.6527834236581
0,660,-52.724432232597,-53.5051495139882,-58.2630042642089,-59.0622417909836,-56.4541360781797,-50.4885051234228,-37.981264455997
0,670,-52.7812945439321,-53.4255886189959,-58.2537517308814,-59.1002678891276,-56.5481698171705,-50.7128946236792,-37.2882288628815
