episode,total_reward,actor_loss,critic_loss,consensus_rate,byzantine_detection_rate,false_positive_rate,avg_trust_score
1,-1071.0,-0.021068269420149072,125.64954376220703,0.51,0.1625,0.302,0.2414285714285714
2,-1052.0,-0.020356898062995503,140.83377075195312,0.68,0.2275,0.286,0.24428571428571436
3,-4060.0,-0.02046105807780155,131.75936889648438,0.555,0.33,0.296,0.1985714285714287
4,-2553.0,-0.018075924100620405,122.2531509399414,0.535,0.095,0.213,0.4800000000000001
5,-3090.0,-0.01677037027132298,130.21331787109375,0.565,0.1025,0.282,0.13857142857142865
6,-2867.0,-0.016812741773069968,123.0537109375,0.525,0.28,0.217,0.49428571428571433
7,-2538.0,-0.01562350258297686,135.04754638671875,0.46,0.11,0.219,0.32571428571428573
8,-2124.0,-0.01501913313820426,132.024658203125,0.51,0.0725,0.259,0.45857142857142874
9,-1421.0,-0.016785885706277832,154.7990264892578,0.61,0.2125,0.258,0.15000000000000013
10,-4096.0,-0.013952536475179451,144.22589111328125,0.55,0.1925,0.236,0.4400000000000001
11,-2563.0,-0.014122818945907056,155.66497802734375,0.495,0.13,0.215,0.54
12,-2547.0,-0.012713555412899171,154.16268920898438,0.5,0.205,0.263,0.44285714285714295
13,-4001.0,-0.00945053728563445,223.34239196777344,0.655,0.385,0.258,0.37000000000000005
14,-1036.0,-0.010754660827972527,275.5250244140625,0.495,0.0875,0.179,0.5614285714285715
15,-1988.0,-0.010123491170816123,167.36598205566406,0.535,0.1075,0.283,0.5157142857142858
16,-1292.0,-0.008917394144061421,340.3393859863281,0.585,0.32,0.21,0.45571428571428596
17,-1966.0,-0.012097761583780604,279.12774658203125,0.7,0.1,0.31,0.2571428571428571
18,-1413.0,-0.007063438259397766,294.3741760253906,0.545,0.13,0.23,0.47285714285714303
19,-2520.0,-0.007965873452901309,349.8545837402344,0.57,0.3175,0.193,0.4457142857142858
20,-3236.0,-0.0081045172326932,305.7391357421875,0.685,0.2575,0.283,0.5
21,-1118.0,-0.007810664637612977,229.6463165283203,0.64,0.3325,0.238,0.4371428571428573
22,-2082.0,-0.007150261679531208,281.40997314453125,0.7,0.4,0.222,0.4142857142857144
23,-2025.0,-0.0071258773594828585,239.9397735595703,0.605,0.105,0.27,0.48999999999999994
24,-3275.0,-0.008235387213062495,187.04238891601562,0.64,0.295,0.193,0.4871428571428572
25,-1982.0,-0.007002808344883046,520.3342895507812,0.64,0.295,0.284,0.4500000000000002
26,-2647.0,-0.00594257764584784,245.5165557861328,0.585,0.1275,0.248,0.6357142857142858
27,-3251.0,-0.0071128400159068406,341.13470458984375,0.68,0.4325,0.216,0.5142857142857143
28,-1810.0,-0.008620992082537018,239.4383087158203,0.595,0.3375,0.188,0.4114285714285714
29,-2705.0,-0.006914401052719248,193.60336303710938,0.655,0.44,0.21,0.6085714285714287
30,-1510.0,-0.007225026800629816,271.9902648925781,0.71,0.3575,0.228,0.4685714285714287
31,-3062.0,-0.006169902850940291,204.46047973632812,0.57,0.1375,0.278,0.36714285714285716
32,-1787.0,-0.00581371523938807,320.92327880859375,0.535,0.2275,0.307,0.24142857142857152
33,-2464.0,-0.006672217548059832,247.07080078125,0.7,0.365,0.233,0.5000000000000001
34,-2663.0,-0.005018292926251888,247.60983276367188,0.805,0.4625,0.267,0.48285714285714304
35,-3056.0,-0.006556141614315233,227.38259887695312,0.675,0.205,0.265,0.5042857142857143
36,-2729.0,-0.005706981225687612,310.754638671875,0.79,0.3975,0.284,0.49142857142857144
37,-2395.0,-0.006115504615341446,217.9287567138672,0.645,0.18,0.275,0.3971428571428572
38,-2406.0,-0.00495626510071036,215.00013732910156,0.59,0.11,0.261,0.6371428571428571
39,-371.0,-0.00561816940483238,331.32220458984375,0.65,0.3075,0.186,0.3871428571428571
40,-3097.0,-0.005309312887090657,211.49720764160156,0.605,0.1125,0.245,0.5900000000000002
41,-4761.0,-0.006109978076502947,200.2091827392578,0.705,0.365,0.274,0.40142857142857163
42,-2213.0,-0.006031262625973406,258.2083740234375,0.68,0.2075,0.297,0.42571428571428604
43,-4293.0,-0.0077835100320433935,201.6673583984375,0.725,0.2925,0.274,0.4942857142857144
44,-2405.0,-0.006375669135845133,253.913330078125,0.76,0.2875,0.288,0.49142857142857144
45,-1377.0,-0.006462126695883593,296.6807556152344,0.675,0.2925,0.249,0.3742857142857143
46,-3044.0,-0.007951019369232069,209.39866638183594,0.66,0.3275,0.286,0.4671428571428572
47,-2394.0,-0.006271022330370865,237.1948699951172,0.71,0.2925,0.278,0.4585714285714289
48,-2799.0,-0.008257047443683925,215.51390075683594,0.785,0.4825,0.25,0.4885714285714287
49,-4389.0,-0.00557061900118632,241.70169067382812,0.84,0.51,0.316,0.47428571428571437
50,-4499.0,-0.0055135990738303265,281.0094909667969,0.675,0.325,0.274,0.46428571428571436
51,-1866.0,-0.0055903601460158825,221.22433471679688,0.74,0.26,0.27,0.5000000000000001
52,-1471.0,-0.005732093738125903,223.47975158691406,0.615,0.265,0.198,0.4985714285714288
53,-3019.0,-0.005254699341354093,265.0796203613281,0.69,0.3925,0.281,0.4885714285714286
54,-3707.0,-0.005117312402165096,216.8600616455078,0.655,0.0975,0.296,0.4128571428571431
55,-1792.0,-0.005386353611746537,287.5355529785156,0.71,0.235,0.27,0.5257142857142859
56,-2015.0,-0.006745565208672945,315.6208801269531,0.7,0.1375,0.267,0.5142857142857143
57,-1963.0,-0.005985891515073101,232.0481719970703,0.81,0.4475,0.244,0.48857142857142855
58,-991.0,-0.006961244358015912,245.54771423339844,0.79,0.5025,0.244,0.4571428571428574
59,-3336.0,-0.005047466626690168,265.7269287109375,0.77,0.4175,0.26,0.5085714285714287
60,-2337.0,-0.007225594653781238,229.7442626953125,0.835,0.42,0.256,0.5185714285714286
61,-3866.0,-0.007795585523126647,276.097412109375,0.71,0.475,0.265,0.3928571428571429
62,-4115.0,-0.007559489250914859,292.697998046875,0.805,0.445,0.285,0.4857142857142857
63,-1402.0,-0.005071946511244667,339.7416076660156,0.595,0.09,0.231,0.4942857142857143
64,-3535.0,-0.005917642876738682,236.7810821533203,0.71,0.3375,0.272,0.5114285714285715
65,-1821.0,-0.0053341726888902485,236.20936584472656,0.715,0.51,0.205,0.55
66,-3151.0,-0.006019292349394943,287.61590576171875,0.74,0.395,0.26,0.5014285714285717
